Nr. (gesamt),Nr. (Staffel),Datum,Kandidaten,Jäger,Zeit bzw. Punkte des Jägers,Finalisten,Geld­summe,Nr. (gesamt) [1][2],Nr. (gesamt)[3],Nr. (gesamt)[4][Anm. 2]
1,1,8. Juli 2012,"Hans Werner Olm, Mariella Ahrens, Ralph Morgenstern, Esther Schweins",Holger Waldenberger,01 Min. 34 Sek.,"Hans Werner, Esther mit 15 Punkten",016.500 €,,,
2,2,15. Juli 2012,"Achim Winter, Erika Berger, Matze Knop, Lilo Wanders",Holger Waldenberger,01 Min. 41 Sek.,"Erika, Matze, Lilo mit 20 Punkten",017.250 €,,,
3,3,22. Juli 2012,"Bernhard Brink, Yasmina Filali, Ulrich Pleitgen, Gabi Decker",Holger Waldenberger,01 Min. 04 Sek.,"Yasmina, Gabi mit 9 Punkten",001.900 €,,,
4,4,29. Juli 2012,"Konrad Stöckel, Ulrike Nasse-Meyfarth, Kristina Bach, Wolfgang Fierek",Holger Waldenberger,05 Punkte,"Ulrike, Kristina mit 16 Punkten",016.500 €,,,
5,5,5. Aug. 2012,"Ingolf Lück, Liz Baffoe, Ingo Naujoks, Eva Habermann",Holger Waldenberger,01 Min. 59 Sek.,"Liz, Ingo mit 10 Punkten",001.400 €,,,
6,6,12. Aug. 2012,"Ulla Kock am Brink, Jorge González, Jon Flemming Olsen, Heide Simonis",Holger Waldenberger,13 Punkte,Jon mit 18 Punkten,001.600 €,,,
7,1,22. Juni 2013,"Hella von Sinnen, Sven Martinek, Mareile Höppner, Bürger Lars Dietrich",Sebastian Jacoby,0 1 Min. 27 Sek.,"Hella, Lars mit 15 Punkten",001.700 €,,,
8,2,24. Juni 2013,"Thomas Hermanns, Muriel Baumeister, Ingo Nommsen, Bärbel Schäfer",Sebastian Klussmann,0 1 Min. 34 Sek.,"Thomas, Muriel mit 11 Punkten",013.600 €,,,
9,3,1. Juli 2013,"Hubertus Meyer-Burckhardt, Lisa Feller, Mario Galla, Ruth Moschner",Sebastian Klussmann,12 Punkte,"Lisa, Mario, Ruth mit 20 Punkten",003.200 €,,,
10,4,6. Juli 2013,"Joe Bausch, Vera Int-Veen, Ingo Appelt, Enie van de Meiklokjes",Sebastian Jacoby,0 1 Min. 03 Sek.,"Joe, Ingo mit 12 Punkten",005.200 €,,,
11,5,8. Juli 2013,"Ralf Schnoor, Sebastian Fietkau, Claudia Bonvie, Olaf Pöschk",Sebastian Jacoby,0 1 Min. 34 Sek.,"Ralf, Sebastian, Claudia mit 14 Punkten",003.600 €,,,
12,6,15. Juli 2013,"Andreas Hoppe, Gesine Cukrowski, Ingo Oschmann, Janin Ullmann",Sebastian Klussmann,0 1 Min. 56 Sek.,"Andreas, Gesine, Ingo mit 15 + 2 Punkten",015.100 €,,,
13,7,22. Juli 2013,"Florian Kroier, Georg Martin, Peter Hahn, Kathrin Herzberg",Sebastian Klussmann,12 Punkte,"Florian, Georg, Peter, Kathrin mit 22 Punkten",014.300 €,,,
14,8,29. Juli 2013,"Barbara Wussow, Dieter Landuris, Miriam Pielhau, Niels Ruf",Sebastian Jacoby,0 1 Min. 56 Sek.,"Barbara, Dieter, Miriam mit 11 + 5 Punkten",004.200 €,,,
XXL 1,S1,2. Aug. 2014,"Grit Boettcher mit Nicole Belstler-Boettcher, Geschwister Hofmann aus Anita Geiger u. Alexandra Hofmann, Ulrike von der Groeben mit Alexander von der Groeben, Peter Lohmeyer mit Leila Klamroth",Sebastian Jacoby,01 Min. 51 Sek.,Peter/Leila mit 11 Punkten,75.000 €,,,
15,01,9. Aug. 2014,"Igor Ullrich, Marcus Straßmann, Martin Bahr, Dr. Bettina Graf",Sebastian Jacoby,01 Min. 11 Sek.,Martin mit 12 + 1 Punkten,00.780 €,,,
16,02,16. Aug. 2014,"Julia Scharf, Oliver Mommsen, Andrea Ballschuh, Tom Gaebel",Sebastian Klussmann,07 Punkte,"Julia, Tom mit 12 + 4 Punkten",01.750 €,,,
17,03,23. Aug. 2014,"Nino Strotzki, Claudia Schneider, Christoph Döring, Harald Tilkes",Sebastian Jacoby,01 Min. 50 Sek.,"Nino, Harald mit 16 + 3 Punkten",02.000 €,,,
18,04,30. Aug. 2014,"Alexander Kaltmeyer, Peter Petry, Oliver Klenz, Barbara Hostalka",Klaus Otto Nagorsnik,01 Min. 28 Sek.,"Alexander, Oliver mit 14 + 3 Punkten",02.800 €,,,
19,05,6. Sep. 2014,"Nina Vorbrodt, Lars Riedel, Marlene Lufen, Tobias Schlegl",Sebastian Klussmann,01 Min. 06 Sek.,Nina mit 11 + 1 Punkten,01.400 €,,,
20,06,20. Sep. 2014,"Jörn Wartberg, Andreas Prien, Christian Vogt, Katja Kümper",Sebastian Jacoby,01 Min. 35 Sek.,"Christian, Katja mit 8 Punkten",02.400 €,,,
21,07,27. Sep. 2014,"Mike Schütte, Manfred Reichard, Annika Fischer, Martin Ehrl",Sebastian Klussmann,12 Punkte,"Mike, Manfred, Annika, Martin mit 18 + 7 Punkten",09.000 €,,,
22,08,25. Okt. 2014,"Marie-Luise Schramm, Veit Stübner, Anna Thalbach, Yared Dibaba",Klaus Otto Nagorsnik,05 Punkte,"Marie-Luise, Anna, Yared mit 17 + 6 Punkten",14.000 €,,,
23,09,1. Nov. 2014,"Anke Tornau, Bernd Schmitz, Veikko Bartel, Annegret Schenkel",Klaus Otto Nagorsnik,15 Punkte,"Anke, Veikko, Annegret mit 16 + 3 Punkten",04.400 €,,,
24,10,29. Nov. 2014,"Loretta Stern, Wolfgang Trepper, Anja Schüte, Antoine Monot, Jr.",Sebastian Klussmann,01 Min. 56 Sek.,Antoine (alle ausgeschieden) mit 10 + 1 Punkten,02.000 €,,,
25,11,6. Apr. 2015,"Sabine Heinrich, Hans-Jochen Wagner, Annabelle Mandeng, Volker Lechtenbrink",Klaus Otto Nagorsnik,01 Min. 07 Sek.,"Hans-Jochen, Volker mit 11 Punkten",02.300 €,,,
26,12,30. Dez. 2014,"Tanja Schumann, Götz Otto, Steffen Hallaschka, Christine Westermann",Sebastian Jacoby,01 Min. 06 Sek.,Christine mit 13 Punkten,40.000 €,,,
27,13,4. Jan. 2015,"Victor Schefé, Kamilla Senjo, Oliver Wnuk, Natalia Wörner",Klaus Otto Nagorsnik,01 Min. 57 Sek.,Victor mit 8 + 1 Punkten,01.200 €,,,
28,14,5. Jan. 2015,"Michael Marji, Gerhard Wendlik, Matthias Thiele, Hanne Weber",Sebastian Jacoby,01 Min. 52 Sek.,"Matthias, Hanne mit 11 + 1 Punkten",01.150 €,,,
29,15,11. Jan. 2015,"Anja Roth, Maxi Arland, Gaby Papenburg, Claude-Oliver Rudolph",Sebastian Klussmann,09 Punkte,Gaby mit 14 + 4 Punkten,01.100 €,,,
30,16,18. Jan. 2015,"Karen Otto, Henrik Malcharek, Dennis Janzen, Kerstin Kaltmeyer",Sebastian Jacoby,01 Min. 39 Sek.,"Karen, Henrik, Dennis, Kerstin mit 20 + 1 Punkten",05.400 €,,,
